primary_media,depth,creditline,display_date,width,invno,medium,id,title,classification,people,dimensions,description,height,onview,collection,dominantColor
/internal/media/dispatcher/18114/resize%25253Aformat%25253Dthumbnail,15.558,Gift of The Kohen Family,ca. 1910,not found in JSON,2007.34.1,photolithograph,19988,Album of the Last Imperial Family,Art Works,Artist Unknown,Overall: 6 1/8 x 4 1/2 x 3/8 in. (15.6 x 11.4 x 1 cm),not found in JSON,0.952,1,Asia,#7b4447
/internal/media/dispatcher/21969/resize%25253Aformat%25253Dthumbnail,"[215.9004318009, 189.8653797308]",Museum purchase,mid 19th century,not found in JSON,2013.13.2,ink and gouache on paper,26567,Ancestor Portrait of Aunt Cheng,Art Works,Artist Unknown,Sight: 74 3/4 Ã— 36 in. (189.9 Ã— 91.4 cm)Framed: 85 Ã— 46 Ã— 1 1/8 in. (215.9 Ã— 116.8 Ã— 2.9 cm),not found in JSON,2.857505715,1,Asia,#c4b7a3
/internal/media/dispatcher/21964/resize%25253Aformat%25253Dthumbnail,"[215.5829311659, 189.5478790958]",Museum purchase,mid 19th century,not found in JSON,2013.13.1,ink and gouache on paper,26566,Ancestor Portrait of Uncle Cheng,Art Works,Artist Unknown,Sight: 74 5/8 Ã— 36 in. (189.5 Ã— 91.4 cm)Framed: 84 7/8 Ã— 46 Ã— 1 1/8 in. (215.6 Ã— 116.8 Ã— 2.9 cm),not found in JSON,2.857505715,1,Asia,#bdaa92
/internal/media/dispatcher/21727/resize%25253Aformat%25253Dthumbnail,2.857505715,"Bequest of Byron F. Meyer, Jr.",late 17th or early 18th century,not found in JSON,2012.16.23,jade,26384,Archaic-style Bowl,Containers,Artist Unknown,Overall: 1 1/8 Ã— 4 3/8 Ã— 2 5/8 in. (2.9 Ã— 11.1 Ã— 6.7 cm),Brush washer with archaic Gui form. The top of the handles have been engraved with protective Tao Tie marks.,6.667513335,1,Asia,#222120
/internal/media/dispatcher/11197/resize%25253Aformat%25253Dthumbnail,"[37.148, 29.21]",Gift of Steven J. Figiel in memory of Jane Elizabeth Figiel,18th century,not found in JSON,2005.27.9,ink on paper,18091,An Arhat in the Forest,Art Works,Artist Unknown,Sight: 11 1/2 x 54 1/8 in. (29.2 x 137.5 cm)Framed: 14 5/8 x 57 5/8 x 3/4 in. (37.1 x 146.4 x 1.9 cm),"This painting is executed in a horizontal handscroll format. It appears to have been inspired by a painting, attributed to Fan-long, who was active in the 12th century during the Southern Song Dynasty (1127-1279). Arhat, or Lohan, were Buddhist sages, who retreated from involvement in earthly matters and focused their entire being on the attainment of nirvana or true enlightenment. This particular painting is very delicately handled. The shading is used to suggest the gnarled branches and bark of centuries old trees. The rocks, also timeless, are built in successive layers by the artist to suggest perspective and depth. In the center of the painting, a solitary Lohan leans against a tree - his only companions are the deer seated and standing around him.",1.905,1,Asia,#b4b09b
/internal/media/dispatcher/97/resize%25253Aformat%25253Dthumbnail,29.21,Gift of Harold E. Abbott,ca. 1800,not found in JSON,80.0256,"silk, dye and metallic thread",21,Badge of Rank,Information Forms,not found in JSON,Overall: 11 1/2 x 12 in. (29.2 x 30.5 cm),"This badge of rank is a Golden Pheasant, Second Grade. The term k'o-ssu has been written with various characters, denoting ""cross-threads,"" ""weft woven threads,"" or ""weft woven colors."" The characters now mean ""cut threads,"" referring to the separations of weft threads of different colors that terminate at the margin of the colored areas instead of running through the width of the cloth. Archaeological evidence suggests that the k'o-ssu technique was in use by the late T'ang dynasty (618-906). The most elaborate k'o-ssu tapestries, brocades, and embroideries produced by the Chinese were executed during the Qing dynasty, particularly under the reign of Emperor Ch'ien-lung.",not found in JSON,1,Asia,#36383a
/internal/media/dispatcher/1023/resize%25253Aformat%25253Dthumbnail,30.162,Gift of Harold E. Abbott,1700s,not found in JSON,80.0259,"silk, dye and metallic thread",11056,Badge of Rank,Information Forms,not found in JSON,Overall: 11 7/8 x 12 1/4 in. (30.2 x 31.1 cm),"This badge of rank is a Peacock, Third Grade. The term k'o-ssu has been written with various characters, denoting ""cross-threads,"" ""weft woven threads,"" or ""weft woven colors."" The characters now mean ""cut threads,"" referring to the separations of weft threads of different colors that terminate at the margin of the colored areas instead of running through the width of the cloth. Archaeological evidence suggests that the k'o-ssu technique was in use by the late T'ang dynasty (618-906). The most elaborate k'o-ssu tapestries, brocades, and embroideries produced by the Chinese were executed during the Qing dynasty, particularly under the reign of Emperor Ch'ien-lung.",not found in JSON,1,Asia,#463e36
/internal/media/dispatcher/6974/resize%25253Aformat%25253Dthumbnail,"[27.94, 35.56]",Gift of Mr. and Mrs. Milton Fischmann,19th century,not found in JSON,60.199.003,ink and colors on silk,16731,Bird on a Camilla Branch,Art Works,not found in JSON,Sight: 11 x 14 7/8 in. (27.9 x 37.8 cm)Sheet: 14 x 17 5/8 in. (35.6 x 44.8 cm),not found in JSON,not found in JSON,1,Asia,#826e4a
/internal/media/dispatcher/2387/resize%25253Aformat%25253Dthumbnail,"[18.098, 27.94]",Gift of Phyllis Ann Figiel,19th century,not found in JSON,2001.47.1,ink and colors on paper,24626,Bird on a Flowering Tree Branch,Art Works,Hu Dun,Sheet: 7 1/8 x 21 5/8 in. (18.1 x 54.9 cm)Overall: 11 x 22 3/4 in. (27.9 x 57.8 cm),"Starting in the lower right corner, a large branch of a flowering tree, possibly plum, extends for the entire length of the paper. A long-tailed white bird, possibly a pheasant, bends down with its neck slightly extended, and is making a sound. A thirty-one character inscription, followed by two seals, is located on the left side of the painting.",not found in JSON,1,Asia,#a2937e
/internal/media/dispatcher/2759/resize%25253Aformat%25253Dthumbnail,40.64,Museum purchase through funds from the Edna C. Pawley Endowment,1887,not found in JSON,2002.16.2,"ink and colors on silk, bamboo and ivory",14291,Birds and Peony,Art Works,Zhang Zumo,Overall: 16 x 10 3/4 in. (40.6 x 27.3 cm),The circular fan depicts a peony and blue bird with delicate calligraphic inscriptions on one side and a lengthy poetic verse with calligrapher's dedication on the opposite side.,not found in JSON,1,Asia,#8e8379
