primary_media,depth,creditline,display_date,width,invno,medium,id,title,classification,people,dimensions,description,height,onview,collection,dominantColor
/internal/media/dispatcher/7114/resize%25253Aformat%25253Dthumbnail,"[31.75, 23.495]",Bequest of Benedict G. Rucker,1830,not found in JSON,2004.33.7,mezzotint,16486,"1ere. Vue d'Aigleville, Colonie du Texas ou Champ d'Asilel",Art Works,Louis Garneray,Sight: 9 1/4 x 13 3/8 in. (23.5 x 34 cm)Sheet: 12 1/2 x 15 3/4 in. (31.8 x 40 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#3c3e30
/internal/media/dispatcher/3123/resize%25253Aformat%25253Dthumbnail,"[26.035, 31.75]",Gift of Benedict Rucker,not dated,not found in JSON,2001.57.44,hand colored engraving,14964,5e vue d'optique nouvelle reprÃ©sentant l'intÃ©rieur de la BibliothÃ¨que des Chanoines RÃ©guliers de Ste. GeneviÃ¨ve,Art Works,Artist Unknown,Sight: 10 1/4 x 16 1/2 in. (26 x 41.9 cm)Sheet: 12 1/2 x 19 3/8 in. (31.8 x 49.2 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#57574d
/internal/media/dispatcher/5426/resize%25253Aformat%25253Dthumbnail,"[27.94, 27.94]",Gift of Anne Steinberg,1972,not found in JSON,81.0259.10,screen print,1819,7 The Last Door,Art Works,Ronald King,Overall (Closed): 11 Ã— 7 1/2 in. (27.9 Ã— 19.1 cm)Overall (Open): 11 Ã— 15 in. (27.9 Ã— 38.1 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#242a30
/internal/media/dispatcher/3407/resize%25253Aformat%25253Dthumbnail,49.848,Gift of Dr. and Mrs. Martin B. Grossman,1966,not found in JSON,86.0145,lithograph,22714,17.10.66 II,Art Works,Pablo Picasso,Sheet: 19 5/8 x 25 3/4 in. (49.8 x 65.4 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#d5d3ce
/internal/media/dispatcher/10136/resize%25253Aformat%25253Dthumbnail,6.35,Gift of Joan Baxt,1991,54.293,2005.23.1,glass,17665,#28,Art Works,Klaus Moje,Overall: 2 1/2 x 21 3/8 in. (6.4 x 54.3 cm),not found in JSON,not found in JSON,1,Europe,#323335
/internal/media/dispatcher/16415/resize%25253Aformat%25253Dthumbnail,"[73.025, 75.248]",Gift of Theodore Racoosin,1959,not found in JSON,65.077.002,oil on canvas,9671,50 M,Art Works,Jacques Cammas,Sight: 28 3/4 x 45 1/2 in. (73 x 115.6 cm)Framed: 29 5/8 x 46 3/8 x 1 1/2 in. (75.2 x 117.8 x 3.8 cm),not found in JSON,3.81,not found in JSON,Europe,#736853
/internal/media/dispatcher/11888/resize%25253Aformat%25253Dthumbnail,"[22.542, 24.765]",Museum purchase,ca. 1875,not found in JSON,2005.42.18,albumen print,25154,110. Caire. Pyramide de Chefren (Cairo. Chephren's Pyramid),Art Works,FÃ©lix Bonfils,Sight: 8 7/8 x 11 1/4 in. (22.5 x 28.6 cm)Sheet: 9 3/4 x 12 1/4 in. (24.8 x 31.1 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#9a8d7d
/internal/media/dispatcher/11889/resize%25253Aformat%25253Dthumbnail,"[22.542, 24.765]",Museum purchase,ca. 1875,not found in JSON,2005.42.19,albumen print,17438,111. Caire. Sphynoc et Pyramide (Cairo. Sphynx and Pyramid),Art Works,FÃ©lix Bonfils,Sight: 8 7/8 x 11 1/4 in. (22.5 x 28.6 cm)Sheet: 9 3/4 x 12 3/8 in. (24.8 x 31.4 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#b6a896
/internal/media/dispatcher/16885/resize%25253Aformat%25253Dthumbnail,32.702,Gift of Dr. David Klein,ca. 1700,not found in JSON,74.008.000.40,engraving,19475,Aaron and His Family Are Named as Priests of the People (Exodus 28),Art Works,Jan Luyken,Sheet: 12 7/8 x 8 1/2 in. (32.7 x 21.6 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#c1bdb0
/internal/media/dispatcher/16853/resize%25253Aformat%25253Dthumbnail,28.258,Gift of Dr. David Klein,ca. 1700,not found in JSON,74.008.000.8,engraving,19443,"Abimelech, King of Gerar, Returns Sarah to Abraham (Genesis 20)",Art Works,Caspar Luyken,Sheet: 11 1/8 x 8 1/8 in. (28.3 x 20.6 cm),not found in JSON,not found in JSON,not found in JSON,Europe,#5a584e
